Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Returns,MA_10,MA_50,Target
2015-03-16,27.78370475769043,27.78370475769043,27.32120018619715,27.54578113753917,143497200,0.011004357198525216,27.968034934997558,26.562143287658692,1
2015-03-17,28.248428344726562,28.310688462772674,27.93935011838267,27.99493975184684,204092400,0.01672648018286682,27.91644744873047,26.642813873291015,1
2015-03-18,28.56639862060547,28.719826538431512,28.09944607958892,28.239531332955636,261083600,0.011256211212836043,27.914890480041503,26.743487510681152,0
2015-03-19,28.350711822509766,28.739839239681466,28.328476309392133,28.62865997763241,183238000,-0.00755036716249291,27.93912754058838,26.839803009033204,0
2015-03-20,27.994943618774414,28.550838333740565,27.830398756001053,28.517485906223897,274780400,-0.012548827908189564,27.92356300354004,26.922402877807617,1
2015-03-23,28.28622817993164,28.428537502319035,28.13280025254547,28.266216726686977,150838800,0.010404899010472812,27.925119972229005,26.992489700317382,0
2015-03-24,28.17060089111328,28.4707828514936,28.14169319834328,28.290674693141913,131369200,-0.0040877591767570776,27.97359390258789,27.0597322845459,0
2015-03-25,27.434593200683594,28.19950704158356,27.434593200683594,28.13724692829372,206620800,-0.02612680124483502,27.998941802978514,27.12448066711426,1
2015-03-26,27.625823974609375,27.76813330160785,27.261156112118154,27.29673429209827,190291600,0.006970424985963231,27.994272422790527,27.18875690460205,0
2015-03-27,27.405691146850586,27.728110364111448,27.33009005453991,27.699204363485794,158184800,-0.007968371475946201,27.98671245574951,27.250490913391115,1
2015-03-30,28.099449157714844,28.106119642444803,27.572458810054766,27.58357741557871,188398800,0.025314377482648753,28.018286895751952,27.3393004989624,0
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400,-0.015351742346223274,27.96025142669678,27.423159217834474,0
2015-04-01,27.628047943115234,27.821500479076686,27.372335288856576,27.754792240066255,162485600,-0.00144663887915919,27.866416358947752,27.494124336242677,1
2015-04-02,27.865970611572266,27.91933618318835,27.614706086104803,27.801486434991567,128880400,0.00861163513784624,27.817942237854005,27.566171379089354,1
2015-04-06,28.31736183166504,28.35294001500725,27.645839737461767,27.676969799655623,148776000,0.016198654135711976,27.850184059143068,27.634621658325194,0
2015-04-07,28.019405364990234,28.488580411799642,28.01273487897068,28.38184924256404,140049200,-0.010522041864140852,27.823501777648925,27.694543571472167,0
2015-04-08,27.92823600769043,28.106123541988197,27.788150719542283,27.983825650100826,149316800,-0.0032537934375195254,27.79926528930664,27.75211051940918,1
2015-04-09,28.14170265197754,28.146150773802955,27.71922268747943,27.983828256403573,129936000,0.007643398753445441,27.869976234436034,27.83148838043213,1
2015-04-10,28.261770248413086,28.286229823662996,27.852631346889225,28.006057586730154,160752000,0.00426653631872953,27.933570861816406,27.885936431884765,0
2015-04-13,28.206178665161133,28.588637297522965,28.15281309396547,28.54416287801489,145460400,-0.0019670241022879953,28.01361961364746,27.923370094299315,0
2015-04-14,28.08388900756836,28.30402352421156,27.997169298088878,28.239539333182478,102098400,-0.004335562751852651,28.012063598632814,27.96606559753418,1
2015-04-15,28.190610885620117,28.268436022782996,28.01939558386178,28.108339324816825,115881600,0.003800110377270016,28.064317321777345,28.004383964538576,0
2015-04-16,28.054981231689453,28.261774776001275,28.04164025994718,28.079440810857832,113476000,-0.004811164060295248,28.107010650634766,28.039901123046874,0
2015-04-17,27.739227294921875,28.048305523453024,27.674743116071788,27.917114801850463,207828000,-0.011254826162953147,28.094336318969727,28.06507213592529,1
2015-04-20,28.372953414916992,28.488579125779587,27.832622017726813,27.921565785715647,188217200,0.022845846182281138,28.099895477294922,28.099137687683104,0
2015-04-21,28.219528198242188,28.506369273516984,28.166160917597324,28.484135451273627,129740400,-0.005407446113598557,28.119907760620116,28.134626235961914,1
2015-04-22,28.59975242614746,28.65534205744874,28.088328836052234,28.237308640789045,150618000,0.013473798188056163,28.18705940246582,28.17420585632324,1
2015-04-23,28.83323097229004,28.999999874384436,28.493022683451226,28.528600863532645,183083600,0.008163656197566205,28.25621223449707,28.2082266998291,1
2015-04-24,28.968870162963867,29.04669700871143,28.73539301864322,29.015566948996813,178103600,0.0047042660881184695,28.32692222595215,28.23224136352539,1
2015-04-27,29.495864868164062,29.602599431597344,29.16232699151122,29.420263763757543,387816800,0.01819175902393133,28.45589084625244,28.259769363403322,0
2015-04-28,29.031143188476562,29.916129616297663,28.81101030867595,29.898343911058532,475696000,-0.015755485786385304,28.55061626434326,28.27524574279785,0
2015-04-29,28.604206085205078,29.26016318298656,28.52860498629819,28.942192058978048,253544400,-0.014706176070977128,28.59197578430176,28.278848037719726,0
2015-04-30,27.828168869018555,28.604199621886025,27.70142458160776,28.604199621886025,332781600,-0.027130178473574684,28.56929454803467,28.262971611022948,1
2015-05-01,28.67313575744629,28.93552062370091,27.861528367104484,28.03941419799725,234050400,0.03036372577746027,28.66268539428711,28.2651953125,0
2015-05-04,28.617536544799805,29.033349221898668,28.519698267835366,28.795424012651395,203953200,-0.0019390698358495717,28.68714370727539,28.261637535095215,0
2015-05-05,27.972705841064453,28.561954632389803,27.968257720114217,28.495246389824892,197085600,-0.02253271181206984,28.662461471557616,28.229617881774903,0
2015-05-06,27.79704475402832,28.1839481830708,27.430152781583676,28.141699512749295,288564000,-0.006279731679666778,28.582190704345702,28.19777629852295,1
2015-05-07,27.968978881835938,28.152074473058324,27.692101292340553,27.859566834442038,175763600,0.0061853383814372,28.495765495300294,28.184404678344727,1
2015-05-08,28.495929718017578,28.495929718017578,28.158765372131114,28.286039082313177,222201600,0.01884054610673913,28.448471450805663,28.174323387145996,0
2015-05-11,28.205656051635742,28.482531869675185,28.051587245555062,28.444573431626868,168143200,-0.010186495729539224,28.31945056915283,28.167152938842772,0
2015-05-12,28.105175018310547,28.330693980436152,27.870722655591305,28.044886489132676,192640000,-0.003562442693807455,28.22685375213623,28.155171089172363,1
